  lower; upper; count
  0 ; 2500 ;          2533 
  2500;4999 ;          1030 
  5000;7499 ;          2124 
  7500;9999 ;          3002 
  10000;12499 ;          3677 
  12500;14999 ;          3203 
  15000;17499 ;          3677 
  17500;19999 ;          3169 
  20000;22499 ;          3886 
  22500;24999 ;          3005 
  25000;27499 ;          3750 
  27500;29999 ;          2880 
  30000;32499 ;          4096 
  32500;34999 ;          2627 
  35000;37499 ;          3489 
  37500;39999 ;          2486 
  40000;42499 ;          3607 
  42500;44999 ;          2270 
  45000;47499 ;          2879 
  47500;49999 ;          2195 
  50000;52499 ;          3354 
  52500;54999 ;          1920 
  55000;57499 ;          2428 
  57500;59999 ;          1828 
  60000;62499 ;          2712 
  62500;64999 ;          1645 
  65000;67499 ;          2108 
  67500;69999 ;          1424 
  70000;72499 ;          2332 
  72500;74999 ;          1399 
  75000;77499 ;          1906 
  77500;79999 ;          1267 
  80000;82499 ;          1784 
  82500;84999 ;          1223 
  85000;87499 ;          1425 
  87500;89999 ;          1009 
  90000;92499 ;          1437 
  92500;94999 ;          1008 
  95000;97499 ;          1167 
  97500;99999 ;            898 
  100000;149999 ;         13385 
  150000;199999 ;          4751 
  200000;249999 ;          1776 
  250000;nan ;          2240 
